Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,id,total_queries_count,ts_submit,ts_submit_dt,elapsed_time,scaled_elapsed_time,ts_submit_dt2
106,1,1,-7857290197349199807,1,1159840320716,2006-10-03 01:52:00.716,13 days 03:14:06,0 days 00:05:55.354773255,2006-09-19 22:43:50.070773255
107,1,1,1932575772793608525,1,1159840428716,2006-10-03 01:53:48.716,13 days 03:15:54,0 days 00:05:55.388591337,2006-09-19 22:43:50.104591337
108,1,1,7062514382438831945,1,1159841885716,2006-10-03 02:18:05.716,13 days 03:40:11,0 days 00:05:55.844822319,2006-09-19 22:43:50.560822319
109,1,1,-944321976780100917,1,1159842665716,2006-10-03 02:31:05.716,13 days 03:53:11,0 days 00:05:56.089064025,2006-09-19 22:43:50.805064025
110,1,1,6843740810934899944,1,1159904979716,2006-10-03 19:49:39.716,13 days 21:11:45,0 days 00:06:15.601471295,2006-09-19 22:44:10.317471295
111,1,2,3709426542071136708,2,1159907163716,2006-10-03 20:26:03.716,13 days 21:48:09,0 days 00:06:16.285348072,2006-09-19 22:44:11.001348072
112,1,2,-7969995174195800301,2,1159907592716,2006-10-03 20:33:12.716,13 days 21:55:18,0 days 00:06:16.419681010,2006-09-19 22:44:11.135681010
113,1,1,-5851985205124854090,1,1159909127716,2006-10-03 20:58:47.716,13 days 22:20:53,0 days 00:06:16.900336162,2006-09-19 22:44:11.616336162
114,1,1,-3557911376260544448,1,1159909327716,2006-10-03 21:02:07.716,13 days 22:24:13,0 days 00:06:16.962962241,2006-09-19 22:44:11.678962241
115,1,2,-5261405095670251971,2,1159910044716,2006-10-03 21:14:04.716,13 days 22:36:10,0 days 00:06:17.187476732,2006-09-19 22:44:11.903476732
116,1,1,1268701777990027897,1,1159912187716,2006-10-03 21:49:47.716,13 days 23:11:53,0 days 00:06:17.858515163,2006-09-19 22:44:12.574515163
117,1,1,-7517039122426317006,1,1159912770716,2006-10-03 21:59:30.716,13 days 23:21:36,0 days 00:06:18.041070182,2006-09-19 22:44:12.757070182
118,1,1,-2729277988691772223,1,1159915296716,2006-10-03 22:41:36.716,14 days 00:03:42,0 days 00:06:18.832037553,2006-09-19 22:44:13.548037553
119,80,2,-5186193090010815294,81,1159916135716,2006-10-03 22:55:35.716,14 days 00:17:41,0 days 00:06:19.094753952,2006-09-19 22:44:13.810753952
120,1,1,5194709821130327659,1,1159918173716,2006-10-03 23:29:33.716,14 days 00:51:39,0 days 00:06:19.732913692,2006-09-19 22:44:14.448913692
121,78,2,472145849718518577,79,1159919683716,2006-10-03 23:54:43.716,14 days 01:16:49,0 days 00:06:20.205740584,2006-09-19 22:44:14.921740584
122,1,1,-5520707787540831395,1,1159921566716,2006-10-04 00:26:06.716,14 days 01:48:12,0 days 00:06:20.795365113,2006-09-19 22:44:15.511365113
123,1,1,-4034292276161370407,1,1159922942716,2006-10-04 00:49:02.716,14 days 02:11:08,0 days 00:06:21.226232533,2006-09-19 22:44:15.942232533
124,1,1,-3722978897075039312,1,1159923251716,2006-10-04 00:54:11.716,14 days 02:16:17,0 days 00:06:21.322989824,2006-09-19 22:44:16.038989824
125,1,1,-6562856601593863173,1,1159925165716,2006-10-04 01:26:05.716,14 days 02:48:11,0 days 00:06:21.922321395,2006-09-19 22:44:16.638321395
126,1,1,601510841117705789,1,1159925240716,2006-10-04 01:27:20.716,14 days 02:49:26,0 days 00:06:21.945806175,2006-09-19 22:44:16.661806175
127,1,1,1407013873629453149,1,1159925790716,2006-10-04 01:36:30.716,14 days 02:58:36,0 days 00:06:22.118027890,2006-09-19 22:44:16.834027890
128,1,1,-42790305221287944,1,1159940496716,2006-10-04 05:41:36.716,14 days 07:03:42,0 days 00:06:26.722923441,2006-09-19 22:44:21.438923441
129,1,1,8662138162306932474,2,1159941362716,2006-10-04 05:56:02.716,14 days 07:18:08,0 days 00:06:26.994094360,2006-09-19 22:44:21.710094360
130,1,1,-6482506843080206783,1,1159985916716,2006-10-04 18:18:36.716,14 days 19:40:42,0 days 00:06:40.945305862,2006-09-19 22:44:35.661305862
131,1,1,905875677522672802,1,1159987291716,2006-10-04 18:41:31.716,14 days 20:03:37,0 days 00:06:41.375860151,2006-09-19 22:44:36.091860151
132,1,3,8959879086273428895,4,1159987647716,2006-10-04 18:47:27.716,14 days 20:09:33,0 days 00:06:41.487334571,2006-09-19 22:44:36.203334571
133,1,3,-7866198582295855024,4,1159988156716,2006-10-04 18:55:56.716,14 days 20:18:02,0 days 00:06:41.646717941,2006-09-19 22:44:36.362717941
134,1,1,-1043747225119560193,1,1159988953716,2006-10-04 19:09:13.716,14 days 20:31:19,0 days 00:06:41.896282863,2006-09-19 22:44:36.612282863
135,4,5,-1225748692155500986,11,1159989135716,2006-10-04 19:12:15.716,14 days 20:34:21,0 days 00:06:41.953272595,2006-09-19 22:44:36.669272595
136,4,4,-7507214599407908930,11,1159989875716,2006-10-04 19:24:35.716,14 days 20:46:41,0 days 00:06:42.184989085,2006-09-19 22:44:36.900989085
137,4,5,-1814960846063803078,11,1159990360716,2006-10-04 19:32:40.716,14 days 20:54:46,0 days 00:06:42.336857325,2006-09-19 22:44:37.052857325
138,4,1,9062419015215644904,5,1159992590716,2006-10-04 20:09:50.716,14 days 21:31:56,0 days 00:06:43.035138100,2006-09-19 22:44:37.751138100
139,1,1,-7255881318516701927,1,1159994002716,2006-10-04 20:33:22.716,14 days 21:55:28,0 days 00:06:43.477278214,2006-09-19 22:44:38.193278214
140,1,1,-3308007586368115458,1,1159994814716,2006-10-04 20:46:54.716,14 days 22:09:00,0 days 00:06:43.731540093,2006-09-19 22:44:38.447540093
141,4,5,-5866214347586121673,11,1159996566716,2006-10-04 21:16:06.716,14 days 22:38:12,0 days 00:06:44.280144540,2006-09-19 22:44:38.996144540
142,1,5,1179962800645737158,5,1159997468716,2006-10-04 21:31:08.716,14 days 22:53:14,0 days 00:06:44.562588154,2006-09-19 22:44:39.278588154
143,4,5,-4611057919847370343,11,1160000161716,2006-10-04 22:16:01.716,14 days 23:38:07,0 days 00:06:45.405848301,2006-09-19 22:44:40.121848301
144,1,5,2386097710152373706,5,1160000426716,2006-10-04 22:20:26.716,14 days 23:42:32,0 days 00:06:45.488827855,2006-09-19 22:44:40.204827855
145,4,10,1652296555729504804,22,1160000499716,2006-10-04 22:21:39.716,14 days 23:43:45,0 days 00:06:45.511686374,2006-09-19 22:44:40.227686374
146,1,1,8734061435785898115,1,1160000709716,2006-10-04 22:25:09.716,14 days 23:47:15,0 days 00:06:45.577443756,2006-09-19 22:44:40.293443756
147,4,5,7524484365361859551,11,1160000859716,2006-10-04 22:27:39.716,14 days 23:49:45,0 days 00:06:45.624413315,2006-09-19 22:44:40.340413315
148,1,1,926076983540056568,1,1160001258716,2006-10-04 22:34:18.716,14 days 23:56:24,0 days 00:06:45.749352341,2006-09-19 22:44:40.465352341
149,1,1,8678476009204760193,1,1160001538716,2006-10-04 22:38:58.716,15 days 00:01:04,0 days 00:06:45.837028851,2006-09-19 22:44:40.553028851
150,1,1,1127926184148766535,1,1160001579716,2006-10-04 22:39:39.716,15 days 00:01:45,0 days 00:06:45.849867197,2006-09-19 22:44:40.565867197
151,1,1,5574844611998312144,1,1160001632716,2006-10-04 22:40:32.716,15 days 00:02:38,0 days 00:06:45.866463108,2006-09-19 22:44:40.582463108
152,1,1,-4144571629073838975,1,1160002910716,2006-10-04 23:01:50.716,15 days 00:23:56,0 days 00:06:46.266643750,2006-09-19 22:44:40.982643750
153,4,5,-8962828410287489706,11,1160003343716,2006-10-04 23:09:03.716,15 days 00:31:09,0 days 00:06:46.402229210,2006-09-19 22:44:41.118229210
154,1,1,-2928472161434152909,1,1160003787716,2006-10-04 23:16:27.716,15 days 00:38:33,0 days 00:06:46.541259104,2006-09-19 22:44:41.257259104
155,1,1,9132457826839641281,1,1160005190716,2006-10-04 23:39:50.716,15 days 01:01:56,0 days 00:06:46.980581044,2006-09-19 22:44:41.696581044
156,1,1,-54620580496161203,1,1160005493716,2006-10-04 23:44:53.716,15 days 01:06:59,0 days 00:06:47.075459553,2006-09-19 22:44:41.791459553
157,1,1,7049872709330769428,1,1160005596716,2006-10-04 23:46:36.716,15 days 01:08:42,0 days 00:06:47.107711984,2006-09-19 22:44:41.823711984
158,1,1,1966886311351266344,2,1160008462716,2006-10-05 00:34:22.716,15 days 01:56:28,0 days 00:06:48.005143688,2006-09-19 22:44:42.721143688
159,1,1,5523274400574194686,1,1160010287716,2006-10-05 01:04:47.716,15 days 02:26:53,0 days 00:06:48.576606654,2006-09-19 22:44:43.292606654
160,1,1,-7100106703917486012,1,1160010372716,2006-10-05 01:06:12.716,15 days 02:28:18,0 days 00:06:48.603222737,2006-09-19 22:44:43.319222737
161,4,5,-2015468290156442725,11,1160010946716,2006-10-05 01:15:46.716,15 days 02:37:52,0 days 00:06:48.782959583,2006-09-19 22:44:43.498959583
162,1,1,-6497535009930174670,1,1160011188716,2006-10-05 01:19:48.716,15 days 02:41:54,0 days 00:06:48.858737138,2006-09-19 22:44:43.574737138
163,1,1,-4636906827799462212,1,1160011874716,2006-10-05 01:31:14.716,15 days 02:53:20,0 days 00:06:49.073544587,2006-09-19 22:44:43.789544587
164,1,1,443154431888731336,1,1160012502716,2006-10-05 01:41:42.716,15 days 03:03:48,0 days 00:06:49.270190473,2006-09-19 22:44:43.986190473
165,1,1,4302956004320501326,1,1160013296716,2006-10-05 01:54:56.716,15 days 03:17:02,0 days 00:06:49.518816005,2006-09-19 22:44:44.234816005
166,1,1,-1016771774544689129,1,1160013428716,2006-10-05 01:57:08.716,15 days 03:19:14,0 days 00:06:49.560149217,2006-09-19 22:44:44.276149217
167,1,1,3230316659375861992,1,1160013501716,2006-10-05 01:58:21.716,15 days 03:20:27,0 days 00:06:49.583007735,2006-09-19 22:44:44.299007735
168,4,5,-1829417388947940950,11,1160013575716,2006-10-05 01:59:35.716,15 days 03:21:41,0 days 00:06:49.606179384,2006-09-19 22:44:44.322179384
169,4,5,6417252551311226028,11,1160013860716,2006-10-05 02:04:20.716,15 days 03:26:26,0 days 00:06:49.695421546,2006-09-19 22:44:44.411421546
170,1,1,-8669794310479301100,1,1160037124716,2006-10-05 08:32:04.716,15 days 09:54:10,0 days 00:06:56.980086994,2006-09-19 22:44:51.696086994
171,5,1,-6926409365595271620,5,1160037167716,2006-10-05 08:32:47.716,15 days 09:54:53,0 days 00:06:56.993551601,2006-09-19 22:44:51.709551601
172,5,1,-8636889259031925478,25,1160037281716,2006-10-05 08:34:41.716,15 days 09:56:47,0 days 00:06:57.029248466,2006-09-19 22:44:51.745248466
173,5,13,2619466407034671924,61,1160038140716,2006-10-05 08:49:00.716,15 days 10:11:06,0 days 00:06:57.298227473,2006-09-19 22:44:52.014227473
