Unnamed: 0;max_concurrent_tasks;aggregation_queries_count;total_queries_count;ts_submit;ts_submit_dt;ts_submit_dt2;standard_queries_count;first_name_queries_count;last_name_queries_count;country_queries_count;other_queries_count
165;1;10;10;1160013296716;2006-10-05 01:54:56.716;2006-09-19 22:44:44.234816005;0;0;0;0;0
166;1;10;10;1160013428716;2006-10-05 01:57:08.716;2006-09-19 22:44:44.276149217;0;0;0;0;0
167;1;10;10;1160013501716;2006-10-05 01:58:21.716;2006-09-19 22:44:44.299007735;0;0;0;0;0
168;1;50;110;1160013575716;2006-10-05 01:59:35.716;2006-09-19 22:44:44.322179384;60;20;13;15;12
169;1;50;110;1160013860716;2006-10-05 02:04:20.716;2006-09-19 22:44:44.411421546;60;23;12;15;10
170;1;10;10;1160037124716;2006-10-05 08:32:04.716;2006-09-19 22:44:51.696086994;0;0;0;0;0
171;1;10;50;1160037167716;2006-10-05 08:32:47.716;2006-09-19 22:44:51.709551601;40;8;10;10;12
172;1;10;250;1160037281716;2006-10-05 08:34:41.716;2006-09-19 22:44:51.745248466;240;55;60;60;65
173;1;130;610;1160038140716;2006-10-05 08:49:00.716;2006-09-19 22:44:52.014227473;480;128;120;120;112
174;1;10;10;1160072660716;2006-10-05 18:24:20.716;2006-09-19 22:45:02.823488617;0;0;0;0;0
175;1;50;110;1160074010716;2006-10-05 18:46:50.716;2006-09-19 22:45:03.246214647;60;16;15;15;14
176;1;10;10;1160076483716;2006-10-05 19:28:03.716;2006-09-19 22:45:04.020586107;0;0;0;0;0
177;1;130;610;1160090983716;2006-10-05 23:29:43.716;2006-09-19 22:45:08.560976797;480;136;120;120;104
178;1;10;10;1160092149716;2006-10-05 23:49:09.716;2006-09-19 22:45:08.926086834;0;0;0;0;0
179;1;10;10;1160092166716;2006-10-05 23:49:26.716;2006-09-19 22:45:08.931410051;0;0;0;0;0
180;1;50;50;1160092321716;2006-10-05 23:52:01.716;2006-09-19 22:45:08.979945262;0;0;0;0;0
181;1;20;20;1160092477716;2006-10-05 23:54:37.716;2006-09-19 22:45:09.028793603;0;0;0;0;0
182;1;50;110;1160092976716;2006-10-06 00:02:56.716;2006-09-19 22:45:09.185045669;60;18;15;15;12
183;1;130;610;1160093142716;2006-10-06 00:05:42.716;2006-09-19 22:45:09.237025314;480;167;108;110;95
184;1;50;110;1160093539716;2006-10-06 00:12:19.716;2006-09-19 22:45:09.361338079;60;12;15;15;18
185;1;50;110;1160094627716;2006-10-06 00:30:27.716;2006-09-19 22:45:09.702023946;60;27;12;15;6
186;1;10;20;1160095173716;2006-10-06 00:39:33.716;2006-09-19 22:45:09.872993141;10;3;2;2;3
187;1;10;10;1160095359716;2006-10-06 00:42:39.716;2006-09-19 22:45:09.931235394;0;0;0;0;0
188;1;10;10;1160095513716;2006-10-06 00:45:13.716;2006-09-19 22:45:09.979457474;0;0;0;0;0
189;1;10;10;1160095989716;2006-10-06 00:53:09.716;2006-09-19 22:45:10.128507541;0;0;0;0;0
190;1;10;10;1160096048716;2006-10-06 00:54:08.716;2006-09-19 22:45:10.146982234;0;0;0;0;0
191;1;10;10;1160096132716;2006-10-06 00:55:32.716;2006-09-19 22:45:10.173285187;0;0;0;0;0
192;1;10;10;1160096252716;2006-10-06 00:57:32.716;2006-09-19 22:45:10.210860834;0;0;0;0;0
193;1;10;10;1160096304716;2006-10-06 00:58:24.716;2006-09-19 22:45:10.227143614;0;0;0;0;0
194;1;10;10;1160096950716;2006-10-06 01:09:10.716;2006-09-19 22:45:10.429425848;0;0;0;0;0
195;1;10;10;1160097102716;2006-10-06 01:11:42.716;2006-09-19 22:45:10.477021667;0;0;0;0;0
196;1;10;10;1160097750716;2006-10-06 01:22:30.716;2006-09-19 22:45:10.679930162;0;0;0;0;0
197;7;50;3890;1160098064716;2006-10-06 01:27:44.716;2006-09-19 22:45:10.778253105;3840;1572;638;905;725
198;1;20;20;1160098123716;2006-10-06 01:28:43.716;2006-09-19 22:45:10.796727798;0;0;0;0;0
199;1;20;20;1160098257716;2006-10-06 01:30:57.716;2006-09-19 22:45:10.838687271;0;0;0;0;0
200;1;20;20;1160098506716;2006-10-06 01:35:06.716;2006-09-19 22:45:10.916656738;0;0;0;0;0
201;7;50;3890;1160099128716;2006-10-06 01:45:28.716;2006-09-19 22:45:11.111423842;3840;1493;653;926;768
202;1;50;210;1160099562716;2006-10-06 01:52:42.716;2006-09-19 22:45:11.247322433;160;66;26;38;30
203;1;10;10;1160102680716;2006-10-06 02:44:40.716;2006-09-19 22:45:12.223662996;0;0;0;0;0
204;1;10;10;1160103473716;2006-10-06 02:57:53.716;2006-09-19 22:45:12.471975397;0;0;0;0;0
205;1;10;10;1160103881716;2006-10-06 03:04:41.716;2006-09-19 22:45:12.599732597;0;0;0;0;0
206;1;10;10;1160104008716;2006-10-06 03:06:48.716;2006-09-19 22:45:12.639500157;0;0;0;0;0
207;1;10;10;1160104240716;2006-10-06 03:10:40.716;2006-09-19 22:45:12.712146408;0;0;0;0;0
208;1;10;10;1160104827716;2006-10-06 03:20:27.716;2006-09-19 22:45:12.895953948;0;0;0;0;0
209;1;10;10;1160105349716;2006-10-06 03:29:09.716;2006-09-19 22:45:13.059408013;0;0;0;0;0
210;1;10;10;1160105460716;2006-10-06 03:31:00.716;2006-09-19 22:45:13.094165487;0;0;0;0;0
211;1;10;10;1160105731716;2006-10-06 03:35:31.716;2006-09-19 22:45:13.179023823;0;0;0;0;0
212;1;10;10;1160106067716;2006-10-06 03:41:07.716;2006-09-19 22:45:13.284235635;0;0;0;0;0
213;1;10;10;1160106200716;2006-10-06 03:43:20.716;2006-09-19 22:45:13.325881977;0;0;0;0;0
214;1;10;10;1160106299716;2006-10-06 03:44:59.716;2006-09-19 22:45:13.356881886;0;0;0;0;0
215;1;10;10;1160106404716;2006-10-06 03:46:44.716;2006-09-19 22:45:13.389760577;0;0;0;0;0
216;1;20;20;1160106559716;2006-10-06 03:49:19.716;2006-09-19 22:45:13.438295788;0;0;0;0;0
217;1;20;20;1160106748716;2006-10-06 03:52:28.716;2006-09-19 22:45:13.497477432;0;0;0;0;0
218;1;20;20;1160106968716;2006-10-06 03:56:08.716;2006-09-19 22:45:13.566366119;0;0;0;0;0
219;1;50;410;1160107157716;2006-10-06 03:59:17.716;2006-09-19 22:45:13.625547763;360;72;90;90;108
220;1;20;160;1160107700716;2006-10-06 04:08:20.716;2006-09-19 22:45:13.795577566;140;32;35;35;38
221;1;50;410;1160108168716;2006-10-06 04:16:08.716;2006-09-19 22:45:13.942122589;360;161;50;83;66
222;1;20;150;1160108938716;2006-10-06 04:28:58.716;2006-09-19 22:45:14.183232991;130;52;28;26;24
223;1;20;150;1160109617716;2006-10-06 04:40:17.716;2006-09-19 22:45:14.395848528;130;57;21;26;26
224;1;20;150;1160109834716;2006-10-06 04:43:54.716;2006-09-19 22:45:14.463797823;130;57;18;30;25
225;1;20;150;1160110380716;2006-10-06 04:53:00.716;2006-09-19 22:45:14.634767017;130;62;32;16;20
226;1;30;190;1160110758716;2006-10-06 04:59:18.716;2006-09-19 22:45:14.753130306;160;76;26;36;22
227;1;50;210;1160110938716;2006-10-06 05:02:18.716;2006-09-19 22:45:14.809493776;160;60;31;37;32
228;1;40;410;1160111218716;2006-10-06 05:06:58.716;2006-09-19 22:45:14.897170286;370;105;92;92;81
229;1;50;410;1160112681716;2006-10-06 05:31:21.716;2006-09-19 22:45:15.355280050;360;142;77;70;71
230;1;20;160;1160113329716;2006-10-06 05:42:09.716;2006-09-19 22:45:15.558188544;140;69;20;31;20
231;1;40;190;1160113812716;2006-10-06 05:50:12.716;2006-09-19 22:45:15.709430524;150;35;37;37;41
232;1;50;210;1160114155716;2006-10-06 05:55:55.716;2006-09-19 22:45:15.816834248;160;59;40;40;21
233;1;50;410;1160114585716;2006-10-06 06:03:05.716;2006-09-19 22:45:15.951480317;360;115;86;88;71
234;1;10;10;1160115231716;2006-10-06 06:13:51.716;2006-09-19 22:45:16.153762551;0;0;0;0;0
235;1;20;20;1160115653716;2006-10-06 06:20:53.716;2006-09-19 22:45:16.285903576;0;0;0;0;0
236;1;20;20;1160116304716;2006-10-06 06:31:44.716;2006-09-19 22:45:16.489751462;0;0;0;0;0
237;1;20;20;1160116820716;2006-10-06 06:40:20.716;2006-09-19 22:45:16.651326744;0;0;0;0;0
238;1;20;20;1160117209716;2006-10-06 06:46:49.716;2006-09-19 22:45:16.773134467;0;0;0;0;0
239;1;20;20;1160117378716;2006-10-06 06:49:38.716;2006-09-19 22:45:16.826053503;0;0;0;0;0
240;1;20;20;1160117549716;2006-10-06 06:52:29.716;2006-09-19 22:45:16.879598800;0;0;0;0;0
241;1;50;410;1160117928716;2006-10-06 06:58:48.716;2006-09-19 22:45:16.998275219;360;133;75;89;63
